n_e,n_i,T_i,T_e,rho
3.337260565044257e+20,3.337260565044257e+20,2852.978037126789,2852.978037126789,0.465
3.31163537672782e+20,3.31163537672782e+20,2817.40708245844,2817.40708245844,0.47000000000000003
3.285896176023044e+20,3.285896176023044e+20,2781.765952396044,2781.765952396044,0.47500000000000003
3.260053879881391e+20,3.260053879881391e+20,2746.0611828148553,2746.0611828148553,0.48
3.234119567978944e+20,3.234119567978944e+20,2710.2993356011416,2710.2993356011416,0.485
3.2081044752786666e+20,3.2081044752786666e+20,2674.486998823779,2674.486998823779,0.49
3.182019984312929e+20,3.182019984312929e+20,2638.6307869012876,2638.6307869012876,0.495
3.155877617185955e+20,3.155877617185955e+20,2602.737340764705,2602.737340764705,0.5
3.129689027296132e+20,3.129689027296132e+20,2566.813328016616,2566.813328016616,0.505
3.1034659907783963e+20,3.1034659907783963e+20,2530.8654430866886,2530.8654430866886,0.51
3.0772203976672123e+20,3.0772203976672123e+20,2494.900407384033,2494.900407384033,0.515
3.0509642427809635e+20,3.0509642427809635e+20,2458.924969446705,2458.924969446705,0.52
3.024709616328876e+20,3.024709616328876e+20,2422.9459050886408,2422.9459050886408,0.525
2.9984686942419354e+20,2.9984686942419354e+20,2386.970017544335,2386.970017544335,0.53
2.972253728229587e+20,2.972253728229587e+20,2351.0041376115346,2351.0041376115346,0.535
2.946077035564353e+20,2.946077035564353e+20,2315.0551237922446,2315.0551237922446,0.54
2.9199509885968623e+20,2.9199509885968623e+20,2279.129862432302,2279.129862432302,0.545
2.8938880040041657e+20,2.8938880040041657e+20,2243.235267859807,2243.235267859807,0.55
2.8679005317745872e+20,2.8679005317745872e+20,2207.378282522667,2207.378282522667,0.555
2.8420010439327606e+20,2.8420010439327606e+20,2171.565877125514,2171.565877125514,0.56
2.8162020230089074e+20,2.8162020230089074e+20,2135.8050507662756,2135.8050507662756,0.5650000000000001
2.7905159502568587e+20,2.7905159502568587e+20,2100.10283107263,2100.10283107263,0.5700000000000001
2.7649552936257284e+20,2.7649552936257284e+20,2064.4662743386334,2064.4662743386334,0.5750000000000001
2.7395324954906336e+20,2.7395324954906336e+20,2028.9024656617619,2028.9024656617619,0.58
2.7142599601483085e+20,2.7142599601483085e+20,1993.4185190806331,1993.4185190806331,0.585
2.6891500410839545e+20,2.6891500410839545e+20,1958.0215777136777,1958.0215777136777,0.59
2.6642150280161683e+20,2.6642150280161683e+20,1922.7188138990173,1922.7188138990173,0.595
2.6394671337273098e+20,2.6394671337273098e+20,1887.5174293358166,1887.5174293358166,0.6
2.614918480687221e+20,2.614918480687221e+20,1852.4246552274096,1852.4246552274096,0.605
2.5905810874787512e+20,2.5905810874787512e+20,1817.4477524264396,1817.4477524264396,0.61
2.5664668550341322e+20,2.5664668550341322e+20,1782.5940115823378,1782.5940115823378,0.615
2.5425875526918334e+20,2.5425875526918334e+20,1747.870753291418,1747.870753291418,0.62
2.5189548040841665e+20,2.5189548040841665e+20,1713.2853282498932,1713.2853282498932,0.625
2.4955800728665194e+20,2.4955800728665194e+20,1678.8451174101351,1678.8451174101351,0.63
2.4724746482997936e+20,2.4724746482997936e+20,1644.5575321404972,1644.5575321404972,0.635
2.449649630698285e+20,2.449649630698285e+20,1610.4300143890468,1610.4300143890468,0.64
2.4271159167559716e+20,2.4271159167559716e+20,1576.4700368515562,1576.4700368515562,0.645
2.404884184764903e+20,2.404884184764903e+20,1542.6851031441272,1542.6851031441272,0.65
2.3829648797401622e+20,2.3829648797401622e+20,1509.0827479808345,1509.0827479808345,0.655
2.3613681984666422e+20,2.3613681984666422e+20,1475.6705373568004,1475.6705373568004,0.66
2.3401040744837392e+20,2.3401040744837392e+20,1442.4560687371275,1442.4560687371275,0.665
2.3191821630248757e+20,2.3191821630248757e+20,1409.4469712521482,1409.4469712521482,0.67
2.298611825929691e+20,2.298611825929691e+20,1376.6509058994707,1376.6509058994707,0.675
2.2784021165476397e+20,2.2784021165476397e+20,1344.0755657533311,1344.0755657533311,0.68
2.2585617646526923e+20,2.2585617646526923e+20,1311.728676181801,1311.728676181801,0.685
2.2390991613898457e+20,2.2390991613898457e+20,1279.6179950724222,1279.6179950724222,0.6900000000000001
2.2200223442751724e+20,2.2200223442751724e+20,1247.7513130668956,1247.7513130668956,0.6950000000000001
2.2013389822722186e+20,2.2013389822722186e+20,1216.1364538054795,1216.1364538054795,0.7000000000000001
2.1830563609686914e+20,2.1830563609686914e+20,1184.781274181814,1184.781274181814,0.705
2.165181367878529e+20,2.165181367878529e+20,1153.6936646089314,1153.6936646089314,0.71
2.1477204778956997e+20,2.1477204778956997e+20,1122.8815492972763,1122.8815492972763,0.715
2.1306797389273085e+20,2.1306797389273085e+20,1092.3528865456233,1092.3528865456233,0.72
2.114064757734957e+20,2.114064757734957e+20,1062.1156690458486,1062.1156690458486,0.725
2.097880686014675e+20,2.097880686014675e+20,1032.177924202599,1032.177924202599,0.73
2.0821322067472004e+20,2.0821322067472004e+20,1002.5477144689781,1002.5477144689781,0.735
2.0668235208519156e+20,2.0668235208519156e+20,973.2331376994892,973.2331376994892,0.74
2.0519583341793418e+20,2.0519583341793418e+20,944.2423275215538,944.2423275215538,0.745
2.03753984487877e+20,2.03753984487877e+20,915.5834537270814,915.5834537270814,0.75
2.0235707311793753e+20,2.0235707311793753e+20,887.2647226856703,887.2647226856703,0.755
2.0100531396250196e+20,2.0100531396250196e+20,859.2943777812061,859.2943777812061,0.76
1.996988673804883e+20,1.996988673804883e+20,831.6806998737645,831.6806998737645,0.765
1.9843783836241576e+20,1.9843783836241576e+20,804.4320077889505,804.4320077889505,0.77
1.9722227551611853e+20,1.9722227551611853e+20,777.5566588369948,777.5566588369948,0.775
1.960521701159743e+20,1.960521701159743e+20,751.0630493642086,751.0630493642086,0.78
1.9492745522076182e+20,1.9492745522076182e+20,724.9596153396477,724.9596153396477,0.785
1.9384800486552037e+20,1.9384800486552037e+20,699.2548329801826,699.2548329801826,0.79
1.9281363333306057e+20,1.9281363333306057e+20,673.9572194175184,673.9572194175184,0.795
1.918240945110697e+20,1.918240945110697e+20,649.0753334111339,649.0753334111339,0.8
1.9087908134106808e+20,1.9087908134106808e+20,624.6177761115838,624.6177761115838,0.805
1.8997822536580946e+20,1.8997822536580946e+20,600.5931918791598,600.5931918791598,0.81
1.8912109638207835e+20,1.8912109638207835e+20,577.0102691635379,577.0102691635379,0.8150000000000001
1.883072022062252e+20,1.883072022062252e+20,553.8777414507807,553.8777414507807,0.8200000000000001
1.875359885601977e+20,1.875359885601977e+20,531.2043882849096,531.2043882849096,0.8250000000000001
1.8680683908627903e+20,1.8680683908627903e+20,508.99903637227084,508.99903637227084,0.8300000000000001
1.861190754992334e+20,1.861190754992334e+20,487.27056077808487,487.27056077808487,0.835
1.854719578850934e+20,1.854719578850934e+20,466.02788622594295,466.02788622594295,0.84
1.8486468515640574e+20,1.8486468515640574e+20,445.2799885126633,445.2799885126633,0.845
1.842963956743898e+20,1.842963956743898e+20,425.03589605283713,425.03589605283713,0.85
1.8376616804916704e+20,1.8376616804916704e+20,405.3046915697349,405.3046915697349,0.855
1.8327302212999315e+20,1.8327302212999315e+20,386.0955139520189,386.0955139520189,0.86
1.8281592019828756e+20,1.8281592019828756e+20,367.41756029908964,367.41756029908964,0.865
1.823937683772132e+20,1.823937683772132e+20,349.2800881819934,349.2800881819934,0.87
1.8200541827263608e+20,1.8200541827263608e+20,331.6924181518473,331.6924181518473,0.875
1.816496688615056e+20,1.816496688615056e+20,314.663936533952,314.663936533952,0.88
1.8132526864507e+20,1.8132526864507e+20,298.20409855348134,298.20409855348134,0.885
1.8103091808590928e+20,1.8103091808590928e+20,282.3224318483289,282.3224318483289,0.89
1.8076527234956575e+20,1.8076527234956575e+20,267.0285404369551,267.0285404369551,0.895
1.805269443736359e+20,1.805269443736359e+20,252.33210922477127,252.33210922477127,0.9
1.80314508289615e+20,1.80314508289615e+20,238.2429091528565,238.2429091528565,0.905
1.8012650322564212e+20,1.8012650322564212e+20,224.7708031193131,224.7708031193131,0.91
1.7996143752168866e+20,1.7996143752168866e+20,211.92575283867427,211.92575283867427,0.915
1.798177933928056e+20,1.798177933928056e+20,199.71782685192903,199.71782685192903,0.92
1.7969403208099263e+20,1.7969403208099263e+20,188.1572099640815,188.1572099640815,0.925
1.7958859954233528e+20,1.7958859954233528e+20,177.25421447550585,177.25421447550585,0.93
1.794999327236473e+20,1.794999327236473e+20,167.01929369984109,167.01929369984109,0.935
1.7942646649247603e+20,1.7942646649247603e+20,157.4630584442274,157.4630584442274,0.9400000000000001
1.793666412967475e+20,1.793666412967475e+20,148.5962973992928,148.5962973992928,0.9450000000000001
